"Year","College","Major","Total","Male","Female","Salary75"
2005,"KL","Food Science & Human Nutrition",394,99,295,70000
2005,"KV","Psychology",1199,319,880,41000
2005,"KV","Biochemistry",282,148,133,50000
2005,"KV","Actuarial Science",249,167,82,72000
2005,"KL","Natural Resrcs & Environ Sci",196,122,74,40200
2005,"KV","Statistics",37,27,10,60000
2005,"KV","Political Science",1015,618,394,50000
2005,"KM","Accountancy",933,524,408,56000
2005,"KM","Finance",803,571,231,64000
2005,"KP","Mechanical Engineering",829,733,93,70000
2005,"KR","Architectural Studies",534,308,226,50000
2005,"KP","Engineering Physics",101,87,14,74000
2005,"KP","Computer Science",650,589,59,70000
2005,"KL","Crop Sciences",94,69,24,40000
2005,"KL","Technical Systems Management",92,86,6,60000
2005,"KY","Kinesiology",600,241,359,41000
2005,"KV","Chemical Engineering",294,187,106,75000
2005,"KV","Math & Computer Science",128,117,10,78000
2005,"KV","History",570,352,217,47000
2005,"KV","Integrative Biology",251,113,138,45000
2005,"KY","Recreation, Sport, and Tourism",10,8,2,43000
2005,"KP","Electrical Engineering",855,748,107,72000
2005,"KV","Sociology",429,139,290,44000
2005,"KR","Industrial Design",98,47,51,38300
2005,"KV","Molecular and Cellular Biology",794,324,469,47000
2005,"KV","Mathematics",357,204,153,60000
2005,"KV","Statistics & Computer Science",10,9,1,60000
2005,"KP","General Engineering",601,489,112,69000
2005,"KL","Agr & Environmental Cmc & Educ",103,30,73,56000
2005,"KY","Community Health",415,94,321,45000
2005,"KP","Engineering Mechanics",78,63,15,74000
2005,"KN","Elementary Education",302,20,282,38000
2005,"KP","Aerospace Engineering",349,297,52,70000
2005,"KM","Economics",16,12,4,65000
2005,"KT","Advertising",235,59,176,47000
2005,"KL","Human Development & Family St",216,13,202,40000
2005,"KV","English",921,280,640,41000
2005,"KP","Bioengineering",52,37,15,70000
2005,"KV","Chemistry",468,251,217,49900
2005,"KV","Physics",187,145,42,68000
2005,"KL","Intl, Resource, Consumer Econ",174,105,69,54000
2005,"KN","Special Education",76,4,72,42000
2005,"KL","Animal Sciences",507,126,381,40000
2005,"KP","Industrial Engineering",66,43,23,50000
2005,"KY","Speech & Hearing Science",229,9,220,40000
2005,"KP","Civil Engineering",493,393,100,60000
2005,"KP","Computer Engineering",563,520,42,75000
2005,"KR","Music Education",201,82,119,40000
2005,"KP","Materials Science & Engr",212,165,47,62000
2015,"KL","Food Science & Human Nutrition",392,83,309,70000
2015,"KV","Psychology",1333,383,950,41000
2015,"KV","Biochemistry",166,86,80,50000
2015,"KV","Actuarial Science",389,224,164,72000
2015,"KL","Natural Resrcs & Environ Sci",235,124,111,40200
2015,"KV","Statistics",190,118,72,60000
2015,"KY","Interdisciplinary Health Sci",200,40,160,45000
2015,"KV","Political Science",583,343,240,50000
2015,"KM","Accountancy",945,495,450,56000
2015,"KM","Finance",550,382,168,64000
2015,"KP","Mechanical Engineering",893,754,139,70000
2015,"LL","Social Work",218,22,196,35000
2015,"KR","Architectural Studies",398,218,180,50000
2015,"KP","Engineering Physics",248,218,30,74000
2015,"KP","Computer Science",1113,893,220,70000
2015,"KP","Nuclear, Plasma, Radiolgc Engr",155,132,23,53000
2015,"KL","Crop Sciences",158,99,59,40000
2015,"KL","Technical Systems Management",193,173,20,60000
2015,"KY","Kinesiology",547,227,320,41000
2015,"KV","Chemical Engineering",681,498,183,75000
2015,"KV","Math & Computer Science",263,216,47,78000
2015,"KV","History",205,121,84,47000
2015,"KV","Integrative Biology",402,153,249,45000
2015,"KY","Recreation, Sport, and Tourism",265,189,76,43000
2015,"KV","Communication",732,296,436,45000
2015,"KP","Electrical Engineering",1146,1002,144,72000
2015,"KV","Sociology",191,88,103,44000
2015,"KR","Industrial Design",132,53,79,38300
2015,"KV","Molecular and Cellular Biology",1041,517,524,47000
2015,"KV","Earth, Soc, Env Sustainability",152,70,82,47000
2015,"KV","Mathematics",153,90,63,60000
2015,"KV","Statistics & Computer Science",107,86,21,60000
2015,"KP","General Engineering",230,172,58,69000
2015,"KM","Marketing",221,91,130,50000
2015,"KY","Community Health",581,141,440,45000
2015,"KP","Engineering Mechanics",112,101,11,74000
2015,"KN","Elementary Education",366,24,342,38000
2015,"KP","Aerospace Engineering",513,462,51,70000
2015,"KV","Economics",894,654,240,65000
2015,"KT","Journalism",131,49,82,42900
2015,"KT","Advertising",562,182,380,47000
2015,"KL","Human Development & Family St",198,24,174,40000
2015,"KV","English",343,99,244,41000
2015,"KP","Bioengineering",249,130,119,70000
2015,"KV","Chemistry",574,337,237,49900
2015,"KV","Physics",386,332,54,68000
2015,"KN","Special Education",125,10,115,42000
2015,"KL","Animal Sciences",523,83,440,40000
2015,"KV","Global Studies",202,51,151,53000
2015,"KP","Industrial Engineering",277,201,76,50000
2015,"KY","Speech & Hearing Science",286,13,273,40000
2015,"KP","Civil Engineering",730,536,194,60000
2015,"KP","Computer Engineering",1062,952,109,75000
2015,"KR","Music Education",168,67,101,40000
2015,"KP","Materials Science & Engr",395,279,116,62000
